distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial,population,deadpercent,injuredpercent
1,Achham,0,0,0,0,0,0,257477,0,0
2,Arghakhanchi,0,2,2,29,140,485,197632,0,0.001
3,Baglung,0,6,30,36,428,1176,268613,0,0.002
4,Baitadi,0,0,0,0,0,0,250898,0,0
5,Bajhang,0,0,0,0,0,0,195159,0,0
6,Bajura,0,0,0,0,0,1,134912,0,0
7,Banke,0,0,0,0,0,81,491313,0,0
8,Bara,5,29,5,2,7,49,687708,0.001,0.004
9,Bardiya,0,2,0,0,0,40,426576,0,0
10,Bhaktapur,319,1861,0,0,7000,2000,304651,0.105,0.611
11,Bhojpur,2,8,13,25,1309,2195,182459,0.001,0.004
12,Chitwan,7,95,5,6,2046,3217,579984,0.001,0.016
13,Dadeldhura,0,0,0,0,0,1,142094,0,0
14,Dailekh,0,0,0,0,0,9,261770,0,0
15,Dang,0,3,1,19,7,508,552583,0,0.001
16,Darchula,0,0,0,0,0,0,133274,0,0
17,Dhading,721,702,200,28,20000,15000,336067,0.215,0.209
18,Dhankuta,0,2,0,36,15,85,163412,0,0.001
19,Dhanusha,1,19,0,0,1,0,754777,0,0.003
20,Dolakha,77,304,6,0,5000,35000,186557,0.041,0.163
21,Dolpa,0,0,0,0,1,5,36700,0,0
22,Doti,0,0,0,1,0,0,211746,0,0
23,Gorkha,410,1030,40,14,44607,13236,271061,0.151,0.380
24,Gulmi,0,6,0,100,770,2629,280160,0,0.002
25,Humla,0,0,0,0,0,0,50858,0,0
26,Ilam,0,6,5,28,93,393,290254,0,0.002
27,Jajarkot,0,1,0,0,0,28,171304,0,0.001
28,Jhapa,0,19,1,35,1,29,812650,0,0.002
29,Jumla,0,2,0,0,0,2,108921,0,0.002
30,Kabhrepalanchok,317,2780,2,93,30000,18545,381937,0.083,0.728
31,Kailali,0,1,0,5,0,4,775709,0,0
32,Kalikot,0,0,0,1,2,0,136948,0,0
33,Kanchanpur,0,1,0,1,0,0,451248,0,0
34,Kapilbastu,0,3,0,1,0,24,571936,0,0.001
35,Kaski,2,30,0,55,174,700,492098,0,0.006
36,Kathmandu,1203,4634,9990,12915,27640,33215,1744240,0.069,0.266
37,Khotang,0,4,19,52,1983,4764,206312,0,0.002
38,Lalitpur,177,2529,252,259,16344,5851,468132,0.038,0.540
39,Lamjung,5,31,32,95,7430,0,167724,0.003,0.018
40,Mahottari,0,10,0,13,43,38,627580,0,0.002
41,Makawanpur,33,127,0,0,363,497,420477,0.008,0.030
42,Manang,0,1,2,48,5,68,6538,0,0.015
43,Morang,2,48,0,23,2,40,965370,0,0.005
44,Mugu,0,0,0,0,0,0,55286,0,0
45,Mustang,0,1,2,19,56,617,13452,0,0.007
46,Myagdi,0,7,0,0,97,490,113641,0,0.006
47,Nawalparasi,1,13,0,0,17,68,643508,0,0.002
48,Nuwakot,1000,1311,16,0,30000,15000,277471,0.360,0.472
49,Okhaldhunga,19,53,11,12,8000,10000,147984,0.013,0.036
50,Palpa,0,15,0,120,1060,1510,261180,0,0.006
51,Panchthar,0,5,9,56,41,481,191817,0,0.003
52,Parsa,5,23,0,14,16,20,601017,0.001,0.004
53,Parwat,0,11,9,39,777,1617,146590,0,0.008
54,Pyuthan,0,7,0,0,3,66,228102,0,0.003
55,Ramechhap,27,34,0,0,17072,23149,202646,0.013,0.017
56,Rasuwa,558,753,0,0,8000,1000,43300,1.289,1.739
57,Rautahat,1,26,0,32,24,170,686722,0,0.004
58,Rolpa,1,5,1,15,42,80,224506,0,0.002
59,Rukum,1,1,10,16,61,120,208567,0,0
60,Rupandehi,0,30,0,0,10,1043,880196,0,0.003
61,Salyan,0,2,3,16,18,147,242444,0,0.001
62,Sankhuwasabha,0,5,67,79,326,766,158742,0,0.003
63,Saptari,0,17,1,14,0,47,639284,0,0.003
64,Sarlahi,1,50,0,0,56,313,769729,0,0.006
65,Sindhuli,12,148,18,166,4159,8545,296192,0.004,0.050
66,Sindhupalchok,3213,859,0,0,44310,18991,287798,1.116,0.298
67,Siraha,0,24,0,1,0,57,637328,0,0.004
68,Solukhumbu,22,80,21,13,2483,6176,105886,0.021,0.076
69,Sunsari,7,25,1,50,2,21,763487,0.001,0.003
70,Surkhet,0,3,0,11,1,31,350804,0,0.001
71,Syangja,0,6,12,91,3119,9695,289148,0,0.002
72,Tanahun,1,21,0,21,3377,12927,323288,0,0.006
73,Taplejung,1,4,0,53,3,338,127461,0.001,0.003
74,Terhathum,0,2,1,11,162,507,101577,0,0.002
75,Udaypur,0,29,3,228,95,205,317532,0,0.009
,,8151,17866,10790,14997,288798,254112,26494504,0.031,0.067
